Status,Session Title,Session Code,Date,Start Time,End Time,Room

Scheduled,Innovation doesnt rely on your IT budget,KY2130,2023-05-23,09:00,10:15,BCEC - Hall C
Scheduled,Why network automation is essential to complete your automation journey,BO2127,2023-05-23,11:00,11:45,BCEC - Room 102A (Level 1)
Scheduled,Accelerate hybrid cloud automation with Red Hat Ansible Automation Platform,BO1031,2023-05-23,15:00,15:45,BCEC - Room 156AB (Level 1)
Scheduled,Terraforming with Red Hat Ansible Automation Platform,BO1727,2023-05-23,16:00,16:45,BCEC - Room 151AB (Level 1)
Scheduled,Optimize to innovate at scale,KY2131,2023-05-24,09:00,10:15,BCEC - Hall C
Scheduled,DevOps automation using Ansible,BO2201,2023-05-24,10:30,11:15,BCEC - Room 104C (Level 1)
Scheduled,Empowering automation developers: Bringing the power of AI to Ansible with Project Wisdom,BO2106,2023-05-24,11:30,12:15,BCEC - Room 103 (Level 1)
Scheduled,Getting started with Event-Driven Ansible,BO1107,2023-05-24,13:00,13:45,BCEC - Room 156AB (Level 1)
Scheduled,Ansible Automation Platform connector development for Azure DevOps,BO2269,2023-05-24,14:00,14:45,BCEC - Room 104C (Level 1)
Scheduled,Managing cost in the public cloud,BO2099,2023-05-24,15:00,15:45,BCEC - Room 157A (Level 1)
Scheduled,How we automate siloed environments,BO1755,2023-05-24,16:00,16:45,BCEC - Room 151AB (Level 1)
Scheduled,Advanced capabilities of automation controller in Red Hat Ansible Automation Platform,LB1165,2023-05-25,08:00,10:00,BCEC - Room 205B (Level 2)
